iter	Passed	Remaining
0	1	106
1	2	128
2	4	140
3	5	129
4	6	128
5	8	125
6	9	126
7	11	127
8	12	126
9	14	126
10	15	124
11	16	121
12	17	120
13	19	117
14	20	115
15	21	113
16	23	112
17	24	111
18	25	109
19	27	108
20	28	106
21	29	105
22	30	103
23	32	102
24	33	100
25	34	99
26	35	97
27	37	96
28	38	94
29	40	93
30	41	92
31	42	90
32	44	89
33	45	88
34	46	86
35	48	85
36	49	83
37	50	82
38	51	81
39	53	79
40	54	78
41	55	76
42	56	74
43	57	73
44	58	71
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	67	60
53	69	58
54	69	57
55	70	55
56	71	54
57	73	53
58	74	51
59	75	50
60	76	49
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	36
70	87	35
71	87	34
72	89	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
