iter	Passed	Remaining
0	153	153522
1	155	77678
2	157	52270
3	159	39751
4	162	32248
5	164	27196
6	165	23525
7	167	20709
8	168	18511
9	169	16821
10	171	15402
11	172	14214
12	174	13218
13	175	12363
14	178	11730
15	179	11057
16	180	10455
17	181	9912
18	183	9498
19	185	9071
20	186	8680
21	187	8315
22	187	7984
23	189	7690
24	190	7418
25	191	7167
26	192	6924
27	193	6706
28	194	6500
29	195	6308
30	196	6131
31	197	5968
32	198	5815
33	199	5669
34	200	5532
35	203	5438
36	205	5351
37	207	5243
38	209	5157
39	210	5053
40	211	4953
41	212	4856
42	214	4777
43	216	4698
44	218	4629
45	219	4550
46	220	4480
47	222	4408
48	223	4335
49	224	4264
50	225	4194
51	226	4133
52	228	4074
53	229	4015
54	230	3956
55	231	3901
56	232	3849
57	233	3800
58	235	3751
59	236	3701
60	237	3653
61	238	3605
62	239	3562
63	240	3522
64	241	3478
65	242	3436
66	243	3396
67	244	3356
68	246	3322
69	247	3285
70	248	3250
71	249	3214
72	250	3181
73	251	3147
74	252	3116
75	253	3086
76	254	3054
77	255	3025
78	256	2994
79	257	2965
80	259	2939
81	260	2913
82	260	2879
83	261	2853
84	262	2828
85	263	2803
86	265	2781
87	266	2758
88	267	2735
89	268	2711
90	269	2687
91	270	2668
92	271	2649
93	272	2629
94	273	2610
95	274	2588
96	275	2568
97	277	2551
98	278	2532
99	279	2513
100	280	2493
101	281	2475
102	282	2457
103	284	2451
104	285	2435
105	286	2418
106	287	2400
107	288	2384
108	289	2369
109	291	2355
110	292	2338
111	292	2322
112	293	2306
113	295	2293
114	296	2279
115	297	2265
116	298	2250
117	299	2235
118	300	2221
119	301	2208
120	302	2194
121	302	2180
122	303	2167
123	304	2154
124	305	2141
125	307	2134
126	308	2123
127	310	2111
128	310	2099
129	311	2087
130	312	2075
131	313	2064
132	315	2054
133	316	2043
134	317	2032
135	318	2024
136	319	2014
137	320	2005
138	322	1994
139	322	1984
140	324	1973
141	324	1962
142	325	1952
143	327	1944
144	328	1935
145	329	1926
146	330	1916
147	331	1907
148	332	1898
149	333	1891
150	334	1882
151	335	1874
152	336	1865
153	337	1856
154	338	1847
155	340	1840
156	341	1831
157	342	1823
158	343	1815
159	344	1807
160	345	1797
161	346	1791
162	347	1784
163	348	1776
164	349	1768
165	350	1761
166	351	1754
167	352	1747
168	354	1740
169	355	1734
170	356	1726
171	357	1719
172	359	1717
173	360	1713
174	362	1708
175	363	1702
176	365	1697
177	366	1690
178	367	1683
179	367	1676
180	368	1669
181	370	1665
182	371	1659
183	372	1652
184	373	1645
185	374	1639
186	375	1632
187	376	1626
188	377	1620
189	378	1613
190	379	1607
191	380	1600
192	381	1593
193	382	1587
194	384	1585
195	385	1580
196	386	1574
197	387	1569
198	388	1565
199	389	1559
200	390	1553
201	391	1547
202	392	1541
203	393	1535
204	394	1529
205	395	1525
206	396	1520
207	397	1515
208	398	1509
209	399	1504
210	400	1499
211	402	1495
212	403	1490
213	404	1484
214	405	1479
215	406	1474
216	407	1468
217	408	1464
218	409	1459
219	410	1455
220	411	1450
221	412	1445
222	413	1441
223	414	1437
224	415	1432
225	416	1427
226	417	1422
227	419	1419
228	420	1415
229	421	1411
230	422	1406
231	423	1401
232	424	1397
233	425	1392
234	426	1389
235	427	1384
236	428	1380
237	429	1376
238	430	1371
239	431	1367
240	432	1363
241	433	1359
242	434	1354
243	435	1350
244	436	1345
245	437	1342
246	439	1338
247	440	1335
248	441	1331
249	442	1327
250	443	1323
251	444	1318
252	445	1315
253	446	1311
254	447	1308
255	448	1304
256	449	1299
257	450	1295
258	451	1292
259	452	1288
260	453	1284
261	454	1280
262	455	1276
263	456	1273
264	457	1269
265	459	1266
266	460	1263
267	461	1259
268	462	1256
269	463	1252
270	464	1249
271	465	1246
272	466	1242
273	467	1238
274	468	1234
275	469	1230
276	470	1227
277	471	1223
278	472	1220
279	473	1216
280	474	1213
281	475	1210
282	476	1207
283	477	1204
284	478	1201
285	479	1197
286	480	1194
287	481	1191
288	482	1188
289	484	1184
290	485	1181
291	485	1178
292	486	1174
293	487	1171
294	489	1169
295	490	1166
296	491	1163
297	492	1160
298	493	1157
299	494	1153
300	495	1151
301	497	1148
302	498	1145
303	499	1142
304	500	1139
305	501	1136
306	502	1133
307	503	1130
308	504	1128
309	505	1125
310	506	1122
311	507	1119
312	508	1116
313	509	1114
314	511	1111
315	512	1108
316	513	1105
317	514	1103
318	515	1100
319	516	1097
320	517	1094
321	518	1091
322	519	1088
323	520	1085
324	521	1083
325	522	1080
326	523	1077
327	524	1074
328	525	1072
329	527	1070
330	528	1067
331	528	1064
332	529	1061
333	530	1057
334	531	1054
335	532	1052
336	533	1049
337	534	1046
338	535	1043
339	535	1040
340	536	1037
341	537	1034
342	538	1031
343	539	1029
344	540	1027
345	542	1025
346	543	1023
347	544	1020
348	545	1018
349	546	1015
350	547	1012
351	548	1010
352	549	1007
353	550	1004
354	551	1002
355	552	999
356	553	997
357	554	994
358	555	992
359	556	989
360	557	987
361	558	984
362	559	982
363	560	979
364	561	977
365	562	974
366	563	972
367	564	969
368	565	967
369	566	964
370	567	961
371	568	959
372	569	956
373	570	954
374	571	952
375	572	949
376	573	947
377	573	944
378	574	942
379	575	939
380	576	937
381	577	934
382	578	932
383	579	929
384	580	927
385	581	924
386	582	922
387	583	920
388	584	918
389	585	915
390	586	913
391	587	910
392	588	908
393	588	905
394	590	903
395	590	901
396	591	898
397	592	896
398	593	894
399	594	891
400	595	889
401	596	887
402	597	885
403	598	882
404	599	880
405	600	878
406	601	875
407	602	873
408	603	871
409	604	869
410	605	867
411	605	864
412	606	862
413	608	860
414	609	858
415	610	856
416	610	854
417	612	852
418	612	849
419	613	847
420	614	845
421	615	843
422	616	841
423	617	838
424	618	836
425	619	834
426	620	832
427	621	830
428	622	828
429	623	826
430	624	824
431	625	822
432	626	820
433	627	818
434	628	816
435	629	814
436	630	812
437	631	809
438	632	807
439	633	806
440	634	803
441	635	801
442	635	799
443	636	797
444	637	795
445	638	793
446	639	791
447	640	789
448	641	787
449	642	785
450	643	783
451	644	781
452	646	780
453	647	779
454	648	777
455	649	775
456	650	773
457	651	771
458	652	769
459	653	767
460	654	765
461	655	763
462	656	761
463	657	759
464	658	757
465	659	755
466	660	753
467	661	751
468	662	749
469	663	747
470	664	746
471	665	744
472	666	742
473	667	740
474	668	738
475	669	736
476	670	734
477	671	732
478	672	731
479	673	729
480	674	727
481	675	725
482	676	724
483	677	722
484	678	720
485	679	718
486	680	716
487	681	714
488	682	712
489	683	711
490	684	709
491	685	707
492	686	705
493	686	703
494	687	701
495	688	700
496	689	698
497	690	696
498	691	694
499	692	692
500	693	690
501	694	688
502	695	687
503	696	685
504	697	683
505	698	681
506	699	679
507	700	678
508	701	676
509	702	674
510	703	673
511	704	671
512	705	669
513	706	668
514	707	666
515	708	665
516	709	663
517	710	661
518	711	659
519	712	657
520	713	656
521	714	654
522	715	652
523	716	651
524	717	649
525	718	647
526	719	646
527	721	644
528	722	642
529	723	641
530	724	639
531	725	637
532	726	636
533	727	634
534	728	633
535	729	631
536	730	629
537	731	628
538	732	626
539	733	624
540	734	623
541	735	621
542	736	619
543	737	618
544	739	617
545	740	615
546	741	613
547	742	612
548	744	611
549	745	609
550	746	608
551	747	606
552	748	605
553	749	603
554	750	601
555	752	600
556	753	598
557	754	597
558	754	595
559	756	594
560	757	592
561	758	591
562	759	589
563	760	588
564	761	586
565	763	585
566	764	583
567	765	582
568	766	580
569	767	578
570	768	577
571	769	575
572	770	574
573	771	572
574	772	571
575	773	569
576	774	567
577	775	566
578	776	564
579	777	563
580	778	561
581	779	559
582	780	558
583	781	556
584	782	555
585	783	553
586	784	551
587	785	550
588	786	548
589	787	547
590	788	545
591	789	544
592	790	542
593	791	540
594	792	539
595	792	537
596	793	535
597	795	534
598	796	532
599	797	531
600	797	529
601	798	528
602	799	526
603	800	524
604	801	523
605	802	521
606	803	520
607	804	518
608	805	517
609	806	515
610	807	514
611	808	512
612	809	510
613	810	509
614	811	507
615	812	506
616	813	504
617	814	503
618	815	501
619	816	500
620	817	498
621	818	497
622	819	495
623	820	494
624	821	492
625	822	491
626	823	489
627	824	488
628	825	486
629	826	485
630	827	483
631	828	482
632	829	480
633	830	479
634	831	477
635	832	476
636	833	474
637	833	473
638	834	471
639	835	470
640	836	468
641	838	467
642	839	465
643	840	464
644	841	462
645	842	461
646	842	459
647	844	458
648	845	457
649	845	455
650	846	453
651	847	452
652	848	451
653	849	449
654	851	448
655	852	446
656	853	445
657	854	444
658	855	442
659	856	441
660	857	439
661	858	438
662	859	436
663	860	435
664	860	433
665	861	432
666	862	430
667	863	429
668	864	427
669	865	426
670	866	424
671	867	423
672	868	422
673	869	420
674	870	419
675	871	417
676	872	416
677	873	414
678	874	413
679	875	411
680	876	410
681	877	408
682	878	407
683	878	406
684	879	404
685	880	403
686	882	401
687	883	400
688	883	399
689	884	397
690	885	396
691	886	394
692	887	393
693	888	391
694	889	390
695	890	389
696	891	387
697	892	386
698	893	384
699	894	383
700	895	381
701	896	380
702	897	379
703	898	377
704	899	376
705	900	375
706	901	373
707	902	372
708	903	370
709	904	369
710	904	367
711	906	366
712	907	365
713	908	363
714	909	362
715	910	360
716	910	359
717	912	358
718	913	356
719	914	355
720	914	354
721	915	352
722	916	351
723	917	349
724	918	348
725	919	347
726	920	345
727	921	344
728	922	342
729	923	341
730	924	340
731	925	338
732	926	337
733	927	336
734	928	334
735	929	333
736	930	331
737	931	330
738	932	329
739	933	327
740	934	326
741	935	325
742	937	324
743	938	322
744	939	321
745	940	320
746	941	318
747	942	317
748	943	316
749	944	314
750	945	313
751	946	312
752	947	310
753	948	309
754	949	308
755	950	306
756	951	305
757	952	304
758	953	302
759	954	301
760	955	300
761	956	298
762	957	297
763	958	296
764	959	294
765	960	293
766	961	291
767	962	290
768	963	289
769	964	288
770	965	286
771	966	285
772	966	283
773	968	282
774	969	281
775	970	280
776	971	278
777	972	277
778	973	276
779	973	274
780	975	273
781	975	272
782	976	270
783	977	269
784	978	268
785	979	266
786	980	265
787	981	264
788	982	262
789	983	261
790	984	260
791	985	258
792	986	257
793	987	256
794	988	254
795	989	253
796	989	252
797	990	250
798	991	249
799	992	248
800	993	246
801	994	245
802	995	244
803	996	242
804	997	241
805	998	240
806	998	238
807	999	237
808	1001	236
809	1001	235
810	1002	233
811	1003	232
812	1004	231
813	1005	229
814	1006	228
815	1007	227
816	1008	225
817	1009	224
818	1010	223
819	1011	221
820	1012	220
821	1013	219
822	1014	218
823	1015	216
824	1015	215
825	1017	214
826	1018	212
827	1018	211
828	1019	210
829	1020	209
830	1021	207
831	1022	206
832	1023	205
833	1024	203
834	1025	202
835	1026	201
836	1027	200
837	1028	198
838	1029	197
839	1029	196
840	1030	194
841	1032	193
842	1032	192
843	1033	191
844	1034	189
845	1035	188
846	1036	187
847	1037	185
848	1038	184
849	1039	183
850	1040	182
851	1041	180
852	1042	179
853	1043	178
854	1044	177
855	1045	175
856	1046	174
857	1047	173
858	1048	172
859	1049	170
860	1050	169
861	1051	168
862	1052	167
863	1053	165
864	1054	164
865	1055	163
866	1056	162
867	1057	160
868	1058	159
869	1059	158
870	1060	157
871	1060	155
872	1061	154
873	1063	153
874	1064	152
875	1065	150
876	1066	149
877	1067	148
878	1068	147
879	1069	145
880	1070	144
881	1071	143
882	1072	142
883	1073	140
884	1074	139
885	1075	138
886	1076	137
887	1077	135
888	1078	134
889	1079	133
890	1079	132
891	1081	130
892	1082	129
893	1083	128
894	1084	127
895	1085	126
896	1086	124
897	1088	123
898	1089	122
899	1090	121
900	1091	119
901	1092	118
902	1094	117
903	1094	116
904	1096	115
905	1097	113
906	1098	112
907	1099	111
908	1100	110
909	1101	108
910	1102	107
911	1114	107
912	1117	106
913	1120	105
914	1121	104
915	1123	103
916	1126	101
917	1128	100
918	1134	99
919	1135	98
920	1137	97
921	1140	96
922	1142	95
923	1144	94
924	1146	92
925	1148	91
926	1150	90
927	1153	89
928	1155	88
929	1157	87
930	1159	85
931	1160	84
932	1162	83
933	1163	82
934	1166	81
935	1167	79
936	1168	78
937	1169	77
938	1170	76
939	1171	74
940	1173	73
941	1174	72
942	1175	71
943	1176	69
944	1178	68
945	1179	67
946	1180	66
947	1181	64
948	1183	63
949	1184	62
950	1185	61
951	1186	59
952	1190	58
953	1191	57
954	1193	56
955	1194	54
956	1195	53
957	1197	52
958	1198	51
959	1199	49
960	1200	48
961	1201	47
962	1203	46
963	1204	44
964	1205	43
965	1206	42
966	1207	41
967	1208	39
968	1209	38
969	1210	37
970	1211	36
971	1212	34
972	1213	33
973	1214	32
974	1215	31
975	1216	29
976	1217	28
977	1218	27
978	1219	26
979	1220	24
980	1221	23
981	1222	22
982	1223	21
983	1224	19
984	1225	18
985	1226	17
986	1227	16
987	1228	14
988	1229	13
989	1230	12
990	1231	11
991	1232	9
992	1233	8
993	1234	7
994	1235	6
995	1236	4
996	1237	3
997	1238	2
998	1239	1
999	1240	0
